date,description,category,amount
2025-09-01,Monthly rent,Housing,28000.00
2025-09-02,Bus pass top-up,Transport,408.61
2025-09-02,Bulk dry goods,Groceries,6581.37
2025-09-02,Neighbourhood supermarket,Groceries,8461.18
2025-09-02,Cleaning supplies,Household,2383.91
2025-09-02,Cinema ticket,Entertainment,1700.69
2025-09-03,Three-wheeler fare,Transport,1268.51
2025-09-03,Fuel top-up,Transport,937.07
2025-09-03,Fuel top-up,Transport,1367.00
2025-09-03,Fuel top-up,Transport,1115.20
2025-09-03,Weekly market run,Groceries,7904.45
2025-09-04,Home internet,Utilities,4500.00
2025-09-04,Three-wheeler fare,Transport,1296.26
2025-09-04,Bus pass top-up,Transport,418.58
2025-09-04,Takeaway dinner,Dining,2206.04
2025-09-04,Takeaway dinner,Dining,719.83
2025-09-06,Cloud file storage,Subscriptions,450.00
2025-09-06,Ride to campus,Transport,1038.47
2025-09-06,Train ticket,Transport,1180.05
2025-09-06,Tea and short eats,Dining,1372.42
2025-09-06,Takeaway dinner,Dining,2822.84
2025-09-06,Routine blood test,Healthcare,2570.46
2025-09-07,Bulk dry goods,Groceries,3636.63
2025-09-08,Electricity bill,Utilities,8126.39
2025-09-08,Ride home,Transport,1116.04
2025-09-08,Bus pass top-up,Transport,968.12
2025-09-08,Fast food dinner,Dining,2776.44
2025-09-08,Board game night,Entertainment,3296.32
2025-09-09,Three-wheeler fare,Transport,1131.95
2025-09-09,Tea and short eats,Dining,2844.74
2025-09-09,Takeaway dinner,Dining,1636.91
2025-09-09,Cinema ticket,Entertainment,1250.58
2025-09-10,Tea and short eats,Dining,1241.54
2025-09-11,Mobile prepaid top-up,Mobile,1392.66
2025-09-11,Running shoes,Clothing,6303.65
2025-09-12,Train ticket,Transport,592.29
2025-09-12,Bakery run,Dining,2597.62
2025-09-13,Ride to campus,Transport,1133.87
2025-09-13,Bus pass top-up,Transport,676.11
2025-09-13,Fast food dinner,Dining,1054.67
2025-09-14,Video streaming service,Subscriptions,1590.00
2025-09-14,Train ticket,Transport,591.10
2025-09-14,Fuel top-up,Transport,402.01
2025-09-14,Three-wheeler fare,Transport,1282.78
2025-09-14,Neighbourhood supermarket,Groceries,3461.73
2025-09-15,Ride to campus,Transport,810.09
2025-09-15,Museum entry,Entertainment,2897.74
2025-09-17,Music streaming service,Subscriptions,790.00
2025-09-17,Three-wheeler fare,Transport,1079.49
2025-09-17,Fast food dinner,Dining,1132.50
2025-09-17,Vegetable stall,Groceries,6672.52
2025-09-18,Ride home,Transport,601.01
2025-09-18,Corner cafe,Dining,744.47
2025-09-18,Weekly market run,Groceries,6594.42
2025-09-18,Cleaning supplies,Household,4311.85
2025-09-18,Pharmacy visit,Healthcare,2697.62
2025-09-18,Routine blood test,Healthcare,1305.93
2025-09-19,Fuel top-up,Transport,479.19
2025-09-19,Fuel top-up,Transport,1397.83
2025-09-19,Textbook purchase,Education,2108.64
2025-09-21,Water bill,Utilities,1885.59
2025-09-21,Bakery run,Dining,1105.19
